station_id,station_name,station_latitude,station_longitude,first_used_datetime,last_used_datetime
519,Pershing Square North,40.751872999999996,-73.97770600000001,2019-11-14 09:22:49.940,2019-11-14 09:22:49.940
520,W 52 St & 5 Ave,40.75992262,-73.97648516,2018-01-08 15:12:20.092,2018-01-08 15:12:20.092
523,W 38 St & 8 Ave,40.75466591,-73.99138152,2019-03-24 16:27:58.154,2019-03-24 16:27:58.154
524,W 43 St & 6 Ave,40.75527307,-73.98316936,2019-06-10 08:44:11.781,2019-06-10 08:44:11.781
525,W 34 St & 11 Ave,40.75594159,-74.0021163,2018-05-05 10:15:11.215,2020-01-29 16:58:16.221
526,E 33 St & 5 Ave,40.74765947,-73.98490707,2018-07-27 08:46:46.329,2019-04-04 08:59:39.812
534,Water - Whitehall Plaza,40.70255065,-74.0127234,2018-09-23 15:09:50.686,2018-09-30 16:44:42.739
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,2018-03-24 11:44:05.937,2018-03-24 11:44:05.937
3200,MLK Light Rail,40.711130499999996,-74.0788855,2018-01-19 15:04:01.777,2018-04-19 06:26:07.467
3202,Newport PATH,40.7272235,-74.03375890000001,2018-01-01 03:38:16.898,2020-01-31 22:42:33.894
3203,Hamilton Park,40.727595965999996,-74.044247311,2018-01-01 15:49:29.506,2020-01-31 21:41:39.394
3205,JC Medical Center,40.71653978099194,-74.0496379137039,2018-01-02 07:48:01.548,2020-01-31 17:17:05.419
3206,Hilltop,40.7311689,-74.0575736,2018-01-01 08:48:20.288,2020-01-31 23:48:35.170
3207,Oakland Ave,40.7376037,-74.05247829999999,2018-01-02 06:45:37.065,2020-01-31 17:41:14.923
3209,Brunswick St,40.7241765,-74.05065640000001,2018-01-01 14:09:55.503,2020-01-31 19:50:57.756
3210,Pershing Field,40.742677141,-74.051788633,2018-01-02 07:42:25.863,2020-01-31 19:08:28.379
3211,Newark Ave,40.72152515,-74.046304543,2018-01-01 01:59:31.746,2020-01-31 21:39:32.667
3212,Christ Hospital,40.734785818,-74.050443636,2018-01-01 15:03:31.969,2020-01-31 18:51:03.767
3213,Van Vorst Park,40.71848892,-74.047726625,2018-01-01 08:55:20.432,2020-01-31 23:29:29.391
3214,Essex Light Rail,40.712774200000005,-74.03648570000001,2018-01-01 04:54:31.785,2020-01-31 18:44:36.643
3216,Columbia Park,40.6970299,-74.09693659999999,2018-01-15 14:45:26.150,2018-04-12 13:57:40.273
3217,Bayside Park,40.698650544,-74.082079678,2018-01-18 14:47:29.954,2018-04-22 22:27:40.942
3220,5 Corners Library,40.73496102000952,-74.05950307846071,2018-01-01 17:28:48.139,2020-01-31 23:15:13.302
3225,Baldwin at Montgomery,40.7236589,-74.0641943,2018-01-01 13:56:18.130,2020-01-31 18:24:32.896
3267,Morris Canal,40.7124188237569,-74.03852552175522,2018-01-01 08:46:50.276,2020-01-31 21:19:08.263
3268,Lafayette Park,40.71346382669195,-74.06285852193831,2018-01-02 16:44:24.170,2020-01-31 19:26:41.772
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2018-06-16 12:23:21.684,2018-06-16 12:23:21.684
2008,Little West St & 1 Pl,40.70569254,-74.01677685,2019-12-28 17:50:48.996,2019-12-28 17:51:52.739
